Contents,CoreID,N,d15N,C,d13C
Blades,YM3A_3_1_3,1.53491158,0.167657289,42.74746875,-8.619906992
Blades,YM3A_3_20_1,1.696663513,1.134545805,43.15730752,-7.335584704
Blades,YM3A_3_20_2,1.462040566,0.588835952,41.60778753,-7.263353943
Blades,YM3A_3_20_3,1.525935643,0.549350452,41.42825805,-7.548319135
Blades,YM3B_1_1_1,1.807839452,0.37125491,41.97574682,-11.12355261
Blades,YM3B_1_1_2,1.71622538,0.271335009,39.64057945,-10.89059979
Blades,YM3B_1_1_3,1.657400776,0.784189195,42.16196342,-10.26152888
Blades,YM3B_1_20_1,1.312363541,-0.137520912,41.35797886,-8.12170488
Blades,YM3B_1_20_2,1.27466723,-0.632022463,40.51440311,-8.05290025
Blades,YM3B_1_20_3,1.363786969,-0.725824819,42.3311632,-8.091234258
Blades,YM3B_2_1_1,1.657269136,0.058230106,41.45818489,-8.197953667
Blades,YM3B_2_1_2,1.667014131,0.460916652,41.51523114,-8.210816714
Blades,YM3B_2_1_3,1.515630782,0.370413868,40.74834424,-7.78336777
Blades,YM3B_2_20_1,1.525390827,0.443629603,41.38005852,-7.3509715
Blades,YM3B_2_20_2,1.497756051,-0.784767738,40.71205977,-7.849661935
Blades,YM3B_2_20_3,1.469972397,-0.729855936,40.58056855,-7.914966635
Blades,YM3B_3_1_1,1.883195516,0.97356646,41.25981779,-11.5041901
Blades,YM3B_3_1_2,1.781935008,1.377533495,42.13590746,-11.12621543
Blades,YM3B_3_1_3,1.701406741,0.849035269,42.29054907,-9.323414809
Blades,YM3B_3_20_1,1.619658186,0.380271518,41.34560692,-7.533477198
Blades,YM3B_3_20_2,1.43477936,1.102147446,41.64102381,-8.080649945
Blades,YM3B_3_20_3,1.552618127,0.068437316,41.31519252,-7.950040898
Blades,YM3C_1_1_1,1.476479961,1.044184856,38.27930821,-10.21533149
Blades,YM3C_1_1_2,1.559847602,0.681210522,39.83326166,-10.32738474
Blades,YM3C_1_1_3,1.604706876,0.853521371,40.13991578,-10.14357809
Blades,YM3C_1_20_1,1.535535148,1.265436065,40.23873597,-7.75409157
Blades,YM3C_1_20_2,1.348791276,0.772973696,40.45190523,-8.119739034
Blades,YM3C_1_20_3,1.338057861,1.238926704,40.526113,-7.730501411
Blades,YM3C_2_1_1,1.346007016,0.921565655,39.59462611,-10.15016841
Blades,YM3C_2_1_2,1.519093337,0.776151069,40.85288615,-10.18479969
Blades,YM3C_2_1_3,1.562457064,0.650057302,41.37831335,-9.495142477
Blades,YM3C_2_20_1,1.54429247,-0.955604454,41.65901962,-7.686400185
Blades,YM3C_2_20_2,1.61652216,-0.572238728,41.25673891,-7.867472308
Blades,YM3C_2_20_3,1.644330052,0.296181247,41.98215846,-7.382634385
Blades,YM3C_3_1_1,1.60831279,1.218579048,42.18075931,-9.6321271
Blades,YM3C_3_1_1,1.552092274,1.155882976,40.55076473,-7.926487469
Blades,YM3C_3_1_2,1.840773016,1.642398746,40.78259613,-8.097490281
Blades,YM3C_3_1_3,1.753557334,1.343733379,42.69015195,-9.067620337
Blades,YM3C_3_20_1,1.674929383,0.36305989,41.80673591,-7.424636326
Blades,YM3C_3_20_2,1.417183904,-0.823529995,40.81831078,-7.625497208
Blades,YM3C_3_20_3,1.581691228,1.731890542,41.80025037,-7.643307532
Blades,YM3D_1_1_1,1.690395581,0.586388575,40.57256898,-10.82965855
Blades,YM3D_1_1_2,1.708871491,-0.500495246,40.69166772,-9.919471578
Blades,YM3D_1_1_3,1.704915181,0.497684173,41.87894451,-10.19763887
Blades,YM3D_1_20_1,1.287434173,-0.470927112,38.88698318,-6.802621825
Blades,YM3D_1_20_2,1.394907497,0.06231889,39.15045918,-7.329468708
Blades,YM3D_1_20_3,1.564124791,0.343725958,42.0274381,-7.134849897
Blades,YM3D_2_1_1,1.706350947,0.533115502,41.03579743,-10.49846014
Blades,YM3D_2_1_2,1.705005587,0.791404347,41.17966587,-11.2801376
Blades,YM3D_2_1_3,1.691092993,0.47616993,40.77224748,-10.54991233
Blades,YM3D_2_20_1,1.385047699,-0.342422669,40.21784946,-7.189688681
Blades,YM3D_2_20_2,1.420942655,-0.289544638,41.19602213,-7.58151688
Blades,YM3D_2_20_3,1.542380756,0.480237471,40.34545895,-7.378676524
Blades,YM3D_3_1_1,1.790187401,1.223860884,40.32205967,-9.603492571
Blades,YM3D_3_1_2,1.972876583,1.109067733,42.12117935,-11.09223958
Blades,YM3D_3_1_3,1.791547914,0.303483937,41.80397111,-9.844107832
Blades,YM3D_3_20_1,1.470314311,0.401563664,40.54441569,-5.836423415
Blades,YM3D_3_20_1,1.458561566,0.418616095,40.41761304,-5.766754613
Blades,YM3D_3_20_1,1.471088711,0.376486559,40.48737062,-6.092843311
Blades,YM3D_3_20_1,1.463176457,0.395545159,40.41323072,-6.766308395
