"","timestep","ag_biomass","bg_biomass","ag_production","bg_production","distance","xy_int"
"17880",39360,926.31,1519.23592094332,398.258355745114,1.13908055059346,1,"1.5.-0.5"
"17881",39372,926.31,1519.24691605434,401.998408501735,1.13918292383187,1,"1.5.-0.5"
"17882",39384,926.31,1519.25683962011,363.45245244517,1.13812821919873,1,"1.5.-0.5"
"17883",39396,926.31,1519.26669523359,361.47484560241,1.13807546641965,1,"1.5.-0.5"
"17884",39408,926.31,1519.27659315662,363.529801988741,1.13813287148696,1,"1.5.-0.5"
"17885",39420,926.31,1519.28650503443,364.5514557024,1.13816198669156,1,"1.5.-0.5"
"17886",39432,926.31,1519.2970463947,388.203633843397,1.13880665106353,1,"1.5.-0.5"
"17887",39444,926.31,1519.30823320345,412.546602269344,1.13946824572668,1,"1.5.-0.5"
"17888",39456,926.31,1519.31921037267,405.471243053325,1.13927574114587,1,"1.5.-0.5"
"17889",39468,926.31,1519.3290432606,363.842802409839,1.13814827382703,1,"1.5.-0.5"
"17890",39480,926.31,1519.33889924111,365.205189544242,1.13818642774913,1,"1.5.-0.5"
"17891",39492,926.31,1519.34875203207,365.598861729843,1.13819833503385,1,"1.5.-0.5"
"17892",39504,926.31,1519.35855632152,364.312595864933,1.13816492555725,1,"1.5.-0.5"
"17893",39516,926.31,1519.36909261188,392.007315018913,1.13891194432199,1,"1.5.-0.5"
"17894",39528,926.31,1519.37986412113,401.344986403827,1.13916330241591,1,"1.5.-0.5"
"17895",39540,926.31,1519.39033517926,390.768988974858,1.1388793509268,1,"1.5.-0.5"
"17896",39552,926.31,1519.40013766009,366.409445983067,1.1382268131556,1,"1.5.-0.5"
"17897",39564,926.31,1519.4098970941,365.314094102534,1.1381987818304,1,"1.5.-0.5"
"17898",39576,926.31,1519.41965303843,365.69301130384,1.13821024181379,1,"1.5.-0.5"
"17899",39588,926.31,1519.42940834682,366.179360224924,1.13822455028549,1,"1.5.-0.5"
"17900",39600,926.31,1519.43997238354,397.032083211117,1.13904822215318,1,"1.5.-0.5"
"17901",39612,926.31,1519.45100248958,415.145137222717,1.13953047397172,1,"1.5.-0.5"
"17902",39624,926.31,1519.4614876775,395.294135164353,1.13900245239893,1,"1.5.-0.5"
"17903",39636,926.31,1519.47130357883,370.662813474075,1.13834922776277,1,"1.5.-0.5"
"17904",39648,926.31,1519.48099902742,366.638664364116,1.13824381179347,1,"1.5.-0.5"
"17905",39660,926.31,1519.49065938032,365.822705247789,1.13822356847049,1,"1.5.-0.5"
"17906",39672,926.31,1519.500360639,367.878854949435,1.13827927294824,1,"1.5.-0.5"
"17907",39684,926.31,1519.51095910732,402.398201543605,1.13919134405569,1,"1.5.-0.5"
"17908",39696,926.31,1519.52162846476,405.703097359103,1.13927846917704,1,"1.5.-0.5"
"17909",39708,926.31,1519.53187882174,390.396981827915,1.1388758134517,1,"1.5.-0.5"
"17910",39720,926.31,1519.54159192034,370.517930935428,1.13835425803336,1,"1.5.-0.5"
"17911",39732,926.31,1519.55131752383,371.513839605381,1.1383816429352,1,"1.5.-0.5"
"17912",39744,926.31,1519.5609133494,367.080240995274,1.13826676428835,1,"1.5.-0.5"
"17913",39756,926.31,1519.57052725236,368.280209806457,1.13829954221455,1,"1.5.-0.5"
"17914",39768,926.31,1519.5809250485,398.805686056789,1.13909816374144,1,"1.5.-0.5"
"17915",39780,926.31,1519.59158650161,409.515717760602,1.13937775006707,1,"1.5.-0.5"
"17916",39792,926.31,1519.60168507471,388.530475321459,1.1388312034569,1,"1.5.-0.5"
"17917",39804,926.31,1519.61126692017,369.224914273247,1.13832994698259,1,"1.5.-0.5"
"17918",39816,926.31,1519.6207833342,367.217694299412,1.13827919517826,1,"1.5.-0.5"
"17919",39828,926.31,1519.63041996556,372.361175239086,1.13841399200555,1,"1.5.-0.5"
"17920",39840,926.31,1519.64004637577,372.487309690681,1.13841853459962,1,"1.5.-0.5"
"17921",39852,926.31,1519.65028113635,396.536902909051,1.13904163317238,1,"1.5.-0.5"
"17922",39864,926.31,1519.66091687238,412.658316129877,1.13945828894975,1,"1.5.-0.5"
"17923",39876,926.31,1519.67135122268,405.484423967951,1.13927319797494,1,"1.5.-0.5"
"17924",39888,926.31,1519.68088500315,371.110695826996,1.13838861448676,1,"1.5.-0.5"
"17925",39900,926.31,1519.69042988506,372.058088891616,1.13841432261324,1,"1.5.-0.5"
"17926",39912,926.31,1519.69989371891,369.418095185712,1.13834789834436,1,"1.5.-0.5"
"17927",39924,926.31,1519.70943001473,372.755259099358,1.13843486002224,1,"1.5.-0.5"
"17928",39936,926.31,1519.71962862249,399.150497496536,1.13911178278067,1,"1.5.-0.5"
"17929",39948,926.31,1519.73020720763,414.613061977376,1.13950738583571,1,"1.5.-0.5"
"17930",39960,926.31,1519.7406031868,408.098425855453,1.13934098782465,1,"1.5.-0.5"
"17931",39972,926.31,1519.75009101215,373.075827340421,1.13844876231542,1,"1.5.-0.5"
"17932",39984,926.31,1519.75955883393,372.807915099198,1.13844329569383,1,"1.5.-0.5"
"17933",39996,926.31,1519.76899502769,372.080290221202,1.13842617408773,1,"1.5.-0.5"
"17934",40008,926.31,1519.77842037005,372.167405252869,1.13842978071534,1,"1.5.-0.5"
"17935",40020,926.31,1519.78830308212,390.732959565474,1.13890159193306,1,"1.5.-0.5"
"17936",40032,926.31,1519.79845139508,401.797627810214,1.13918233520144,1,"1.5.-0.5"
"17937",40044,926.31,1519.80888276138,413.601007104735,1.13948093799627,1,"1.5.-0.5"
"17938",40056,926.31,1519.81849495927,381.760478578683,1.13867775283688,1,"1.5.-0.5"
"17939",40068,926.31,1519.82787074468,372.914869441011,1.13845606856012,1,"1.5.-0.5"
"17940",40080,926.31,1519.83722100767,372.415065495996,1.13844491219606,1,"1.5.-0.5"
"17941",40092,926.31,1519.84657051517,372.898088568705,1.13845848373967,1,"1.5.-0.5"
"17942",40104,926.31,1519.85622457571,385.553148027102,1.13877736275845,1,"1.5.-0.5"
"17943",40116,926.31,1519.86652444482,411.884262863605,1.13943796404692,1,"1.5.-0.5"
"17944",40128,926.31,1519.8768066989,411.80654992233,1.13943613140782,1,"1.5.-0.5"
"17945",40140,926.31,1519.88670306463,396.980082848633,1.13906599856273,1,"1.5.-0.5"
"17946",40152,926.31,1519.89607538532,376.545765712799,1.13855711784618,1,"1.5.-0.5"
"17947",40164,926.31,1519.90541168664,375.62156522955,1.1385354598815,1,"1.5.-0.5"
"17948",40176,926.31,1519.91472108347,375.05897085421,1.1385228616964,1,"1.5.-0.5"
"17949",40188,926.31,1519.92400148744,374.40886276908,1.13850813400677,1,"1.5.-0.5"
"17950",40200,926.31,1519.93418732017,411.435246977897,1.13942778360524,1,"1.5.-0.5"
"17951",40212,926.31,1519.94452341481,418.125726013328,1.13959365388018,1,"1.5.-0.5"
"17952",40224,926.31,1519.95488877715,419.951529086218,1.13963876031721,1,"1.5.-0.5"
"17953",40236,926.31,1519.96426940852,380.706898405915,1.13866991303621,1,"1.5.-0.5"
"17954",40248,926.31,1519.97355410302,377.346199948748,1.13858835098563,1,"1.5.-0.5"
"17955",40260,926.31,1519.98277240564,375.170593857765,1.13853618698522,1,"1.5.-0.5"
"17956",40272,926.31,1519.99201859111,376.819905012788,1.13857819606892,1,"1.5.-0.5"
"17957",40284,926.31,1520.00167195652,393.925680011802,1.1389995450636,1,"1.5.-0.5"
"17958",40296,926.31,1520.01204183463,423.722192917136,1.139730850874,1,"1.5.-0.5"
"17959",40308,926.31,1520.02258811611,431.585501257039,1.13992314547795,1,"1.5.-0.5"
"17960",40320,926.31,1520.0323961335,402.054611563275,1.13920104306362,1,"1.5.-0.5"
"17961",40332,926.31,1520.04159454787,377.661558078544,1.13860647047022,1,"1.5.-0.5"
"17962",40344,926.31,1520.05079243268,378.159449008759,1.13862003722079,1,"1.5.-0.5"
"17963",40356,926.31,1520.05997068686,377.873366209678,1.13861450219247,1,"1.5.-0.5"
"17964",40368,926.31,1520.06910767469,376.694679412409,1.13858730144784,1,"1.5.-0.5"
