SampleID,N,d15N,C,d13C
YM1D_2_1_2_S,1.26605676,2.142349482,39.19783985,-10.00100756
YM1D_2_1_2_S,1.256268224,1.935461888,38.87734743,-10.72584663
YM1D_2_1_2_S,1.310324992,2.174644131,39.17232641,-10.72390856
YM1D_2_1_2_S,1.315514744,2.249325506,39.18127405,-10.47292819
YM1D_2_1_2_S,1.181627912,1.732611124,39.26657219,-10.64154048
YM1D_2_1_2_S,1.216031151,1.714445384,39.33410604,-10.69871362
YM1D_2_1_2_S,1.213370327,1.965738121,39.20137723,-9.375979214
YM1D_2_1_2_S,1.278850543,2.062622068,39.17666965,-10.26555444
YM1D_2_1_2_S,1.167553021,1.86178972,37.67978594,-10.38668396
YM1D_2_1_3_Rt,0.913251497,0.233937575,36.67616442,-8.27999928
YM1D_2_1_3_Rt,0.910474469,0.407521313,36.66207946,-8.226702289
YM1D_2_1_3_Rt,0.908799863,0.45899091,36.51714514,-7.312901159
YM1D_2_1_3_Rt,0.9051267,0.373208248,36.44470451,-7.840056848
YM1D_2_1_3_Rt,0.909793182,0.332839937,36.12938343,-8.154993611
YM1D_2_1_3_Rt,0.906626425,0.30458212,36.4346967,-7.394300199
YM1D_2_1_3_Rt,0.904403514,0.133016797,36.52041998,-8.08909915
YM1D_2_1_3_Rt,0.901200861,0.364125378,36.27210647,-7.748967446
YM1D_2_1_3_Rt,0.908613791,0.461009325,36.37654209,-7.622023704
YM1D_2_1_3_Rt,0.906174441,0.406512105,36.39777832,-7.403021525
YM1D_2_1_3_Rz,0.593849154,0.191550849,34.94708728,-7.925332033
YM1D_2_1_3_Rz,0.57840901,0.289444003,34.97654433,-7.860406608
YM1D_2_1_3_Rz,0.533778908,0.454954078,33.82256438,-7.761564916
YM1D_2_1_3_Rz,0.580679155,0.611381284,35.66792804,-7.588107438
YM1D_2_1_3_Rz,0.579520186,0.595233959,35.63836685,-7.553222135
YM1D_2_1_3_Rz,0.541069597,0.39541082,32.5524764,-7.495079963
YM1D_2_1_3_Rz,0.556270505,0.572022181,35.72704692,-7.884632513
YM1D_2_1_3_Rz,0.587774269,0.36816221,35.48652575,-7.595859727
YM1D_2_1_3_Rz,0.581286294,0.305591327,35.69358493,-8.036771195
YM1D_2_1_3_S,0.953072505,1.24415456,36.54169838,-10.73553699
YM1D_2_1_3_S,0.981777338,0.920198864,37.95525524,-11.29951606
YM1D_2_1_3_S,1.008591717,1.339020091,37.8087342,-10.7142182
YM1D_2_1_3_S,0.996636464,1.304707027,38.10419737,-9.999069487
YM1D_2_1_3_S,0.808279994,0.362106963,36.83109027,-8.12204638
YM1D_2_1_3_S,0.988870548,1.395535727,38.09822038,-10.4438571
YM1D_2_1_3_S,1.00523817,1.217915158,38.19041747,-10.44094999
YM1D_2_1_3_S,1.004212491,1.292596534,38.24300428,-10.62022169
YM1D_2_1_3_S,0.976419687,1.287550495,37.68218698,-10.56014144
YM1D_2_1_3_S,1.016257486,1.256265054,38.23365527,-10.9070564
YM1D_2_20_1_Rt,0.636797023,-0.471498661,36.02631352,-7.571633822
YM1D_2_20_1_Rz,0.41101466,-0.708662489,37.69448589,-8.408881093
YM1D_2_20_1_S,0.703538398,-0.874172564,39.45858053,-6.56674329
YM1D_2_20_2_Rt,0.695581086,-0.653156061,37.55911876,-6.632637751
YM1D_2_20_2_Rz,0.503673379,-1.220330832,40.23111175,-7.479575384
YM1D_2_20_2_S,0.845352055,0.04117889,39.38133034,-6.366152798
